report_no,date_documented,date_time_found,year_found,month,hour,season,country,location,latitude,longitude,UFO_shape,length_of_encounter_seconds,distance_to_nearest_airport_km,description
118,5/15/2006,05/15/2005 19:55,2005,5,19,Spring,Philippines,Basak,10.294884,123.961941,Circle,1196.0,2.36856343745255,This happened last May 2005. Every night I always watch the night sky to see the star&#44Polaris. But as I was wathcing the star&#44 a craft
119,4/16/2005,01/30/2005 19:30,2005,1,19,Winter,Thailand,Chiang Mai Province,18.787744,98.993119,Sphere,300.0,78.6761304566394,Orange sphere in skies above Chiang Mai
120,10/11/2005,9/10/2005 12:00,2005,9,12,Autumn,Thailand,Lampang Province,18.141982,99.428349,Unspecified,120.0,16.5187288838957,Several people in Mae Chang (Chiang Mai&#44 Northern Thailand) witnessed a strange creature.
121,5/15/2006,01/15/2006 18:00,2006,1,18,Winter,Indonesia,West Java,-6.388877,106.830069,Oval,180.0,9.30504327847311,6 lights flown over dark clouds
122,2/14/2006,2/5/2006 21:00,2006,2,21,Winter,Indonesia,West Java,-6.249028,106.996952,Unspecified,15.0,11.8622149877781,and unidentified flying object had three lights&#44 the color of the light is red&#44green&#44and blue
123,5/15/2006,01/15/2006 18:00,2006,1,18,Spring,Indonesia,Central Java,-6.883333,109.666667,Light,120.0,78.8210616015137,the images can be found at ((deleted)).  ((NUFORC Note:  Small&#44 blurry&#44 indistinct object.  PD))
124,10/31/2008,09/22/2006 02:00,2006,9,2,Autumn,Indonesia,Central Kalimantan,-0.789275,113.921327,Oval,300.0,159.663511028652,ship object was landed at the center of tol road approx 60 km from Jakarta to Cikampek in Dawuan place
125,2/1/2007,12/31/2006 23:15,2006,12,23,Winter,Philippines,Eastern Manila District,14.65073,121.102855,Circle,9900.0,18.1603716762891,Sighting over Quezon City Philippines during midnight of December 31&#44 2006
126,10/30/2006,8/12/2006 22:30,2006,8,22,Summer,Philippines,Zamboanga del Norte,8.583333,123.333333,Disk,300.0,83.5412804677377,25 UFO&#39s in dipolog
127,7/16/2006,06/22/2006 23:10,2006,6,23,Summer,Singapore,Singapore,1.352083,103.819836,Other,600.0,8.0569022966556,Aurora-like mysterious object floating in the sky.
128,7/16/2006,06/22/2006 23:10,2006,6,23,Summer,Singapore,Singapore,1.352083,103.819836,Disk,240.0,8.0569022966556,the black  ufo
129,12/14/2006,12/13/2006 23:00,2006,12,23,Winter,Thailand,Bangkok,13.727896,100.524123,Changing,7200.0,22.3418677926901,It looked light an ordinary bright star..which suddenly caught my eye as it sped in toward earth at about 80 degrees and hovered
130,5/15/2006,03/22/2006 23:30,2006,3,23,Spring,Thailand,Phuket Province,7.843899,98.293619,Changing,900.0,30.0332302160239,I took a 9 min video of more than 25 lights traveling E over Phuket Island&#44 Thailand.  ((NUFORC Note:  Possible lanterns??  PD))
131,1/10/2009,1/1/2007 09:00,2007,1,9,Winter,Philippines,Southern Manila District,14.537752,121.001379,Disk,60.0,3.7173886044263904,Strange disk shaped object hovering at the side of a building in Manila&#44 Philippines.
132,4/27/2007,03/17/2007 15:30,2007,3,15,Spring,Philippines,Batangas,13.756465,121.058308,Disk,120.0,23.2205473674099,white round object flew from the open sky into the clouds and disappeared
133,6/12/2007,5/12/2007 19:00,2007,5,19,Spring,Philippines,Balulang,8.454236,124.631898,Light,630.0,5.02997833027896,Lights ove Cagayan de Oro&#44 Philippines
134,2/1/2007,1/7/2007 19:40,2007,1,19,Winter,Singapore,Singapore,1.352083,103.819836,Sphere,10.0,8.0569022966556,A bright light across the sky took many Singaporeans by surprise on Sunday evening.
135,11/28/2007,11/13/2007 22:00,2007,11,22,Autumn,Thailand,Bangkok,13.727896,100.524123,Changing,7200.0,22.3418677926901,Life UFO Movement over Bangkok 4:00~6:00 on East Side 1 months already.  ((NUFORC Note:  Sighting of Venus?  PD))
136,11/28/2007,10/26/2007 04:00,2007,10,26,Autumn,Thailand,Phuket Province,7.843899,98.293619,Oval,240.0,30.0332302160239,An orange&#44 oval shaped&#44 glowing object was traveling relatively slowly in an easterly direction over the Andaman Sea.  It stopped&#44 and
137,7/22/2013,06/15/2007 21:00,2007,6,21,Summer,Thailand,Phuket Province,7.880448,98.39225,Circle,360.0,27.1537458316959,3 white circle circular shaped UFO in Phuket Thailand.
138,6/12/2008,05/30/2008 00:00,2008,5,0,Summer,Cambodia,Cambodia,11.562108,104.888535,Unspecified,2.0,5.1717800794478,"Hi, According to the Cambodian newspaper ""Phnom Penh Post"", on May 27, 2008 farmers/fishermen heard explosion in the sky and saw metal"
139,1/10/2009,12/22/2008 20:00,2008,12,20,Winter,Indonesia,West Java,-6.6,106.8,Oval,240.0,29.5135193427649,Mysterious glowing aeroplane at night
140,10/31/2008,10/1/2008 00:24,2008,10,0,Autumn,Malaysia,Kuala Lumpur,3.139003,101.686855,Disk,300.0,3.49698434422757,A huge &quot;creature&quot; built up with a line of bright line with a red light at the middle top of it&#44 appears in the dark clear Malaysia sky&#33
141,7/5/2008,05/29/2008 14:00,2008,5,14,Spring,Malaysia,Negeri Sembilan,2.718592,101.948988,Disk,2.0,26.718424938726,taken on hp camera by accident on bright clouds surrounded by black stomy clouds.only find out when transferred to the laptop&#44 noticed
142,1/10/2009,1/1/2009 00:00,2009,1,0,Winter,Brunei,Bandar Seri Begawan,4.890278,114.942222,Unspecified,1200.0,6.39319569625042,Obj. captured in camera on new year eve fireworks photo assignment for the press agency.  ((NUFORC Note:  Aircraft&#44 we believe.  PD))
143,3/19/2009,01/21/2009 20:30,2009,1,20,Winter,Malaysia,Sarawak,1.530976,110.34422,Teardrop,5.0,5.11612531664027,huge bright blue colored tail light shined in the sky
144,3/19/2009,2/4/2009 22:20,2009,2,22,Winter,Malaysia,Selangor,3.043061,101.440657,Fireball,2.0,30.1209086641525,Is it comet or UFO?  ((NUFORC Note:  Possible meteor??  PD))
145,4/14/2009,4/6/2009 20:00,2009,4,20,Spring,Malaysia,Pahang,4.210484,101.975766,Other,15.0,105.739460168787,I was taking pictures of plane display on the runway at night.  ((NUFORC Note:  No photo received at NUFORC.  PD))
146,7/28/2010,05/30/2009 14:00,2009,5,14,Spring,Malaysia,Kuala Lumpur,3.139003,101.686855,Sphere,120.0,3.49698434422757,Sighting of a gold chrome-like object in the skies of Malaysia.  ((NUFORC Note:  We believe it is a surface feature.  PD))
147,1/10/2009,1/1/2009 20:30,2009,1,20,Winter,Philippines,Capitol Site,10.315699,123.885437,Circle,1500.0,10.2714285174344,Circular yellowish in color.
148,12/12/2009,11/5/2009 20:45,2009,11,20,Autumn,Philippines,Cavite,14.351875,120.931505,Circle,600.0,19.8501521480405,I saw three objects in all appearing in intervals that lasted a few seconds &#39maybe half a minute each time.the first one appeared f
149,4/14/2009,4/7/2009 04:30,2009,4,4,Spring,Philippines,Romblon,12.879721,121.774017,Triangle,5.0,53.7998230729948,the first time i saw an object in the sky at 4:30 am five dots of light in v-shape formation appeared then disappeared.
150,8/5/2009,6/10/2009 01:00,2009,6,1,Summer,Philippines,Benguet,16.402333,120.596007,Circle,90.0,3.90559115558665,Lightball stopped in middle&#44 moved&#44changed course upwards&#44 rleasd another light&#44moved upwards disapprd&#44 second light moved westwards
151,6/9/2009,05/23/2009 06:00,2009,5,6,Spring,Singapore,Singapore,1.352083,103.819836,Sphere,120.0,8.0569022966556,Redlight over the city in singapore.
152,1/5/2011,11/8/2010 08:00,2010,11,8,Autumn,Malaysia,Penang,5.278611,100.3875,Circle,300.0,12.4044411626623,UFO in Genting Malaysia
153,4/13/2010,01/25/2010 19:55,2010,1,19,Winter,Malaysia,Johor,1.46343,103.754715,Unspecified,600.0,7.63992092972648,i dont know
154,11/21/2010,6/10/2010 05:00,2010,6,5,Summer,Malaysia,Sabah,5.84561,118.057056,Circle,900.0,95.1726554596954,very beautiful.in green colour.surround by one layer of white shining light.size like basketball.first spotted come out from the moon.i
155,1/5/2011,10/29/2010 19:30,2010,10,19,Autumn,Philippines,Caloocan,14.743885,121.067552,Light,2100.0,26.6352922868279,over 50 lights appearing in the sky and landing in the jungle of Belize
156,5/12/2010,01/18/2010 21:00,2010,1,21,Winter,Philippines,Capitol Site,10.315699,123.885437,Light,20.0,10.2714285174344,Unusual white light at high altitude&#44  very fast with &#39?cloaking?&#39 capabilities&#44 and maneuvers
157,4/13/2010,03/16/2010 20:20,2010,3,20,Spring,Philippines,Ninoy Aquino,15.144985,120.588703,Disk,10.0,20.4479281860146,arc like not very visible UFO in philippines angeles city
158,12/12/2011,06/30/2010 22:00,2010,6,22,Summer,Philippines,Jaro,10.72015,122.562106,Formation,30.0,2.03100437860816,faint-lighted glowing dots in different colors (orange&#44 green&#44 blue-green) in a triangular formation.
159,11/21/2010,9/12/2010 00:00,2010,9,0,Autumn,Philippines,Pala-o,8.228021,124.245242,Oval,10.0,45.2448807085629,night sky sighting very fast moving craft in iligan city
160,4/13/2010,03/31/2010 01:00,2010,3,1,Spring,Singapore,Singapore,1.352083,103.819836,Light,1200.0,8.0569022966556,2 round lights fade in and out at certain interval while moving away slowly.
161,6/10/2010,6/6/2010 05:34,2010,6,5,Summer,Singapore,Singapore,1.352083,103.819836,Disk,240.0,8.0569022966556,UFO Spotted above northern singapore
162,11/21/2010,08/14/2010 22:00,2010,8,22,Summer,Singapore,Singapore,1.352083,103.819836,Teardrop,7200.0,8.0569022966556,Lying on the beach hoping to look out for stars. It was a cloudy night. But&#44 when we looked up later the sky was clear and we saw sever
163,7/10/2010,7/6/2010 21:30,2010,7,21,Summer,Vietnam,Ho Chi Minh,10.823099,106.629664,Sphere,10800.0,3.54842914765946,UFO sighting in Vietnam
164,12/12/2011,03/15/2003 19:30,2011,3,19,Winter,Cambodia,Siem Reap ,13.364047,103.860313,Disk,60.0,7.31109756451997,Very close observation of a disc shaped craft.
165,9/9/2013,12/22/2011 18:20,2011,12,18,Winter,Indonesia,West Sumatra,-0.95,100.353056,Light,3000.0,8.22926213694644,Very bright light  appeared for 50 min in the clear night sky  of  PADANG&#44 WEST SUMATERA&#44 INDONESIA&#44 for   50 min.
166,1/31/2011,01/25/2011 02:30,2011,1,2,Winter,Malaysia,Selangor,3.107094,101.608255,Triangle,300.0,10.5337870240508,triangle sheped craft threw out a stone which is glowing
167,3/10/2011,3/4/2011 21:30,2011,3,21,Spring,Malaysia,Sarawak,1.530976,110.34422,Changing,1200.0,5.11612531664027,Hovering Object with Flickering Colourful Lights over Kuching City&#44 Sarawak&#44 Malaysia
168,8/7/2011,07/27/2011 22:00,2011,7,22,Summer,Philippines,Eastern Manila District,14.569805,121.078675,Fireball,300.0,9.32574704204205,Small orange-red &#39fireball&#39 orb moving slowly along beach
169,10/30/2012,9/1/2011 18:58,2011,9,18,Autumn,Philippines,Southern Manila District,14.535427,121.060073,Fireball,240.0,5.30867286218946,Fireball coming and returning over mountain
170,7/4/2012,11/9/2011 20:00,2011,11,20,Autumn,Singapore,Singapore,1.352083,103.819836,Light,1260.0,8.0569022966556,It&#39s huge like it is near to the building. The color changed. The color&#44 to me&#44 I have never seen it before. It moves in a Zigzag shape
171,5/2/2011,04/19/2011 05:50,2011,4,5,Spring,Singapore,Singapore,1.352083,103.819836,Other,2.0,8.0569022966556,Blinking light made a zig-zag motion in a split second while flashing a very bright light and went straight up.
172,3/13/2012,04/28/2011 15:30,2011,4,15,Spring,Singapore,Singapore,1.352083,103.819836,Triangle,120.0,8.0569022966556,Black triangular object seen overtaking airplane during flight in Southeast Asia
173,6/20/2011,06/18/2011 23:00,2011,6,23,Summer,Singapore,Singapore,1.352083,103.819836,Light,1800.0,8.0569022966556,Light in the sky not moving but changing colour from blue to red to white...colour sequence chnged but craft did not move. Moved away b
174,12/12/2011,09/16/2011 21:45,2011,9,21,Autumn,Singapore,Singapore,1.352083,103.819836,Light,600.0,8.0569022966556,Formation of 3 starlike ufo&#39s over petrochemical port and storage facility in Singapore on the evening of the 16th of Sept. 2011
175,12/12/2011,09/16/2011 21:45,2011,9,21,Winter,Singapore,Singapore,1.352083,103.819836,Light,600.0,8.0569022966556,Formation of 3 starlike ufo's over petrochemical port and storage facility in Singapore on the evening of the 16th of Sept. 2011
176,10/30/2012,09/26/2012 22:00,2012,9,22,Autumn,Indonesia,Bali,-8.519268,115.263298,Light,120.0,27.5491233337087,Strong orange light flickering in the dark cloudy rainy night
177,10/30/2012,10/2/2012 13:00,2012,10,13,Autumn,Malaysia,Selangor,3.043061,101.440657,Light,900.0,30.1209086641525,Mysterious bright spot in pictures of solar hola from different persons&#44 cameras&#44 locations and nearly same timing
178,11/19/2012,11/7/2012 05:00,2012,11,5,Autumn,Malaysia,Kuala Lumpur,3.139003,101.686855,Oval,720.0,3.49698434422757,2 police officers and campers saw a yellowish/red object.
179,2/3/2012,01/25/2012 21:00,2012,1,21,Winter,Malaysia,Sabah,5.976474,116.115777,Disk,300.0,8.40170620854445,Strange craft in Kota Kinabalu&#44 Sabah&#44 Malaysia
180,10/30/2012,10/2/2012 13:00,2012,10,13,Autumn,Malaysia,Klang ,3.044917,101.445564,Light,600.0,29.5415182827328,"Mysterious bright spot in pictures of solar hola from different persons, cameras, locations and nearly same timing"
181,11/19/2012,11/16/2012 22:30,2012,11,22,Autumn,Philippines,Romblon,12.879721,121.774017,Fireball,90.0,53.7998230729948,3 separate sightings of orange light in a week.
182,12/20/2012,12/1/2012 22:35,2012,12,22,Winter,Philippines,Romblon,12.879721,121.774017,Other,180.0,53.7998230729948,Normal reddish star&#44 grew brighter and bigger&#44 disappeared&#44 (might) reappared and start moving left.
183,12/20/2012,12/18/2012 18:30,2012,12,18,Winter,Philippines,Cavite,14.306694,121.01373,Light,1200.0,22.5025596438142,Fire orange lights over GMA&#44 Cavite&#44 Philippines.
184,5/13/2012,04/29/2012 20:30,2012,4,20,Spring,Philippines,Cebu,11.335846,124.115636,Unspecified,120.0,58.1512752951547,Three bright orange lights&#44 moving quite quickly northrawds&#44 then stopping and heading south before disappearing
185,7/4/2012,11/9/2011 20:00,2011,11,20,Summer,Singapore,Singapore,1.352083,103.819836,Light,60.0,8.0569022966556,"It's huge like it is near to the building. The color changed. The color, to me, I have never seen it before. It moves in a Zigzag shape"
186,3/13/2012,04/28/2011 15:30,2012,4,15,Summer,Singapore,Borneo (between) (in flight),0.867389085,114.2120014,Triangle,120.0,141.912132451385,Black triangular object seen overtaking airplane during flight in Southeast Asia
187,10/30/2012,10/5/2012 21:40,2012,10,21,Autumn,Thailand,Surat Thani Province,9.512017,100.013593,Sphere,240.0,6.64735717540081,2 sightings of orange orbs off the coast of Koh Samui&#44 an island in Southern Thailand.
188,10/30/2012,10/5/2012 21:40,2012,10,21,Autumn,Thailand,Surat Thani Province,9.512017,100.013593,Sphere,240.0,6.64735717540081,2 sightings of orange orbs off the coast of Koh Samui&#44 an island in Southern Thailand. ((ADDENDUM))
189,11/11/2013,10/25/2013 19:50,2013,10,19,Autumn,Indonesia,West Sumatra,-0.95,100.353056,Light,7200.0,8.22926213694644,Thursday 25 Oct 2013 at 1950pm cyrcle with lights around flying and stand still for 2 hrs in the sky of Padang West Sumatra
190,11/20/2013,11/18/2013 18:30,2013,11,18,Autumn,Indonesia,West Sumatra,-0.95,100.353056,Light,3600.0,8.22926213694644,Oval shape with very bright lights around attached to the craft.
191,12/2/2013,11/22/2013 19:00,2013,11,19,Autumn,Indonesia,Riau,-0.589724,101.343106,Oval,3600.0,113.387423075643,Oval shape craft with lights around attached to the craft. with haze.
192,12/23/2013,12/13/2013 18:30,2013,12,18,Winter,Indonesia,West Sumatra,-0.95,100.353056,Disk,7200.0,8.22926213694644,Saucer type of craft with lights rotating it flying very slowly&#44 in padang&#44 west sumatra sky for 2 hours.  ((NUFORC Note:  Venus?  PD))
193,12/23/2013,12/19/2013 18:30,2013,12,18,Winter,Indonesia,West Sumatra,-0.95,100.353056,Cylinder,5400.0,8.22926213694644,Again a cylinder type with very bright lights rotating it in Padang sky&#44  West Sumatra&#44 Indonesia for 1.5 hours.
194,11/20/2013,11/3/2013 23:45,2013,11,23,Autumn,Malaysia,Kuala Lumpur,3.139003,101.686855,Changing,900.0,3.49698434422757,Several dotted light sourcesin in different formation and prolonged changes of direction
195,7/14/2013,7/4/2013 06:50,2013,7,6,Summer,Malaysia,Selangor,3.509247,101.524805,Sphere,120.0,48.3988755362438,3 purple object flying in Selangor&#44 cheras in Malaysia.
196,8/30/2013,8/10/2013 23:00,2013,8,23,Summer,Malaysia,Selangor,3.043061,101.440657,Triangle,60.0,30.1209086641525,5 DOT TRIANGLE &amp;quot;SHAPE&amp;quot; CAUGHT ON TAPE&#44KLG&#44MALAYSIA.
197,9/30/2013,09/21/2013 01:15,2013,9,1,Autumn,Malaysia,Kuala Lumpur,3.139003,101.686855,Flash,10.0,3.49698434422757,Glowing snowball streak across the sky&#44 no sound.
198,11/20/2013,11/3/2013 23:45,2013,11,23,Winter,Malaysia,Kuala Lumpur,3.140853,101.693207,Changing,300.0,3.38754789947423,Several dotted light sourcesin in different formation and prolonged changes of direction
199,9/30/2013,09/21/2013 01:15,2013,9,1,Autumn,Malaysia,Kuala Lumpur,3.140853,101.693207,Flash,10.0,3.38754789947423,"Glowing snowball streak across the sky, no sound."
200,8/30/2013,8/10/2013 23:00,2013,8,23,Summer,Malaysia,Klang (Selangor),3.043061,101.440657,Triangle,60.0,30.1209086641525,"5 DOT TRIANGLE ""SHAPE"" CAUGHT ON TAPE,KLG,MALAYSIA."
201,7/14/2013,7/4/2013 06:50,2013,7,6,Summer,Malaysia,Selangor,3.043061,101.440657,Sphere,120.0,30.1209086641525,"3 purple object flying in Selangor, cheras in Malaysia."
202,11/19/2012,11/7/2012 05:00,2013,11,5,Summer,Malaysia,Kuala Lumpur,3.140853,101.693207,Oval,720.0,3.38754789947423,2 police officers and campers saw a yellowish/red object.
203,8/30/2013,8/3/2013 21:00,2013,8,21,Summer,Myanmar,Yangon,16.8,96.15,Cigar,600.0,12.03461385062,While me and my friends are drinking beer&#44 these UFOs (7 or Above-like cigar but short length) fly over us.
204,8/30/2013,07/29/2013 21:35,2013,7,21,Summer,Philippines,Bohol,9.672948,123.873002,Triangle,900.0,71.562236954569,Lighted&#44 triangular shaped object observed over the Philippine islands.
205,10/14/2013,10/12/2013 21:00,2013,10,21,Autumn,Thailand,Surat Thani Province,9.512017,100.013593,Circle,45.0,6.64735717540081,Bright orange sphere in nighttime sky in Thailand.
206,10/23/2013,10/19/2013 22:00,2013,10,22,Autumn,Thailand,Surat Thani Province,9.512017,100.013593,Circle,60.0,6.64735717540081,5 bright lights above chaweng beach koh samui
207,4/4/2014,03/28/2014 04:00,2014,3,4,Spring,Indonesia,Pasar Manggis,-6.208763,106.845599,Sphere,300.0,8.10502940984653,Brighter light going out from another light.
208,5/2/2014,5/2/2014 22:20,2014,5,22,Spring,Malaysia,Kota marudu sabah ,6.485247,116.7328462,Triangle,15.0,96.9402463181779,3 lights with zigzag movement.
209,3/18/2014,3/9/2014 01:00,2014,3,1,Spring,Malaysia,Kuala Lumpur,3.140853,101.693207,Changing,37.0,3.38754789947423,Strange lights?
210,4/24/2014,04/21/2014 22:15,2014,4,22,Spring,Philippines,Eastern Manila District,14.676041,121.0437,Light,3.0,18.7633192163191,A weird flash of light appeared in the sky two times.
211,4/11/2014,4/5/2014 04:50,2014,4,4,Spring,Philippines,Ilocos Norte,18.196013,120.592668,Light,30.0,75.6196517748811,Bright light like stars x two.
212,3/18/2014,3/6/2014 11:15,2014,3,11,Spring,Thailand,Loei Province,17.37021,101.900579,Rectangle,120.0,20.433633311573,Geometric lights over north-east Thailand.
213,12/21/2015,11/2/2015 21:30,2015,12,21,Winter,Cambodia,Phnom Penh ,11.562108,104.888535,Unspecified,10.0,5.1717800794478,"11/02/2015 Above St.79BT, Boeung Tumpun, Phnom Penh, Cambodia - yellow orange fire - 10sec - the last 4seconds it went directly upward."
214,1/16/2015,1/11/2015 22:55,2015,1,22,Winter,Cambodia,Siem Reap ,13.364047,103.860313,Fireball,480.0,7.31109756451997,"((HOAX??)) We were looking at the sky, because it was beautiful night and I love watching the stars."
215,1/16/2015,1/11/2015 00:00,2015,1,0,Winter,Cambodia,Siem Reap ,13.364047,103.860313,Fireball,480.0,7.31109756451997,((HOAX??)) Three fireball like objects apeared in the sky for 8 minutes.
216,1/16/2015,1/9/2015 05:30,2015,1,5,Winter,Cambodia,Siem Reap ,13.364047,103.860313,Fireball,60.0,7.31109756451997,((HOAX??)) 3 fireball looking object was flying in the sky then suddenly it went down and after that i heard a bunch of dogs barking.
217,9/25/2015,09/24/2015 22:10,2015,9,22,Autumn,Malaysia,Kuala Lumpur,3.140853,101.693207,Circle,300.0,3.38754789947423,"Bright blue stationary light, changed to red and disappeared."
218,4/3/2015,3/10/2015 06:00,2015,3,6,Summer,Thailand,Ban Krut,11.35,99.567,Rectangle,600.0,148.757848060914,Billboard of white light.
219,4/29/2016,04/25/2016 19:00,2016,4,19,Spring,Cambodia,Sihanoukville ,10.627543,103.522141,Sphere,600.0,176.734193606978,"Bright light, stationary, moved twice and instantly dassapeared"
220,12/5/2016,11/24/2016 00:00,2016,11,0,Winter,Malaysia,Johor ,1.46343,103.754715,Circle,1200.0,7.63992092972648,"Circle craft with blue and green light rotating around the sky, look like collecting something. ((NUFORC Note: ""Twinkling"" star?? PD))"
221,7/22/2016,07/18/2016 20:00,2016,7,20,Summer,Thailand,Bangkok,13.727896,100.524123,Teardrop,6.0,22.3418677926901,5 tear-drop/fang-shaped objects in delta formation over Bangkok during heavy thunderstorm.
222,1/5/2016,1/1/2016 00:03,2016,1,0,Winter,Thailand,Bangkok,13.727896,100.524123,Orb,40.0,22.3418677926901,"Bright, stationary object in orbit above Bangkok, Thailand, on New Year's day. ((NUFORC Note: Planet near Moon? PD))"
223,6/22/2017,06/18/2017 20:08,2017,6,20,Summer,Thailand,Chiang Rai ,19.90858,99.8325,Unspecified,120.0,64.8717423662027,I was outside grilling on our patio. I was completely dark outside at around 8:05 p.m. We live near the city airport and will typical
224,7/13/2018,07/13/2018 17:06,2018,7,17,Summer,Singapore,Singapore/ Bekasi,-1.329226453,104.9215257,Triangle,4020.0,101.922601227592,My brother and I saw this flying misterious object and we thought that it was a kite.But an hour later i started to think that this ob
225,11/9/2018,11/2/2018 21:30,2018,11,21,Autumn,Thailand,Pattaya ,12.927608,100.877083,Triangle,15.0,30.8290490795188,We have many aircraft fly over us every day from bangkok and utaphao airports we know what an aurcraft looks this craft was not a plane
226,6/27/2019,6/8/2019 14:38,2019,6,14,Summer,Malaysia,Kuantan Pahang,3.763386,103.220184,Circle,2.0,1.79098517998768,"((NUFORC Note: Witness provides no text in report. Sends photo, which appears to be a lens flare. PD))"
227,6/25/2020,9/7/2016 07:15,2020,9,7,Summer,Malaysia,Sabah (Tawau),5.976474,116.115777,Light,1000.0,8.40170620854445,"It's look like a star but it keep flashing for like 15min plus. When I focus on it the colour change to green, then it disappear. I che"
228,6/25/2020,05/27/2020 19:00,2020,5,19,Summer,Malaysia,Kuala Terengganu ,5.3302,103.1408,Cylinder,120.0,7.11962791683149,"Two cylinder shape shadow sighted during routine photography. Terengganu, Malaysia"
229,6/25/2020,4/4/2020 19:23,2020,4,19,Summer,Thailand,Koh Samui ,9.512017,100.013596,Unspecified,5.0,6.64709446661431,"The UFO flew South-West to North-East & altitude under 1000 feet about Mach 2-4, there was no noise & estimated at 10-20m in length."
230,6/25/2020,4/4/2020 19:23,2020,4,19,Summer,Thailand,Bangkok,13.727896,100.524123,Triangle,10.0,22.3418677926901,"Flying low, just under low cloud, no typical jet sound, gliding, came from the south west flying east, triangular shape, looking from"
231,1/31/2020,01/26/2020 23:30,2020,1,23,Winter,Thailand,Phuket ,7.878978,98.398392,Unspecified,9.0,27.5222063185204,"Greetings from Thailand, coconut Island. I have not seen UFO with my eyes but since last night very strange occurrences. ((anonymous))"
232,7/31/2021,05/26/2021 04:25,2021,5,4,Summer,Malaysia,Malaysia,3.140853,101.693207,Triangle,10.0,3.38754789947423,"On the 10th floor balcony, we saw a triangular flying vehicle faintly in the sky.It is an equivalent triangle with a triangular dotted."
233,3/6/2023,02/13/2023 23:31,2023,2,23,Autumn,East Timor,West Dili,-8.556856,125.56031,Chevron,8.0,88.2321926653913,Bright light birds flying away
234,12/20/2023,12/18/2023 13:22,2023,12,13,Winter,Thailand,Mueang Chiang Rai,19.90858,99.8325,Changing,60.0,64.8717423662027,Five flying objects on the sky.
235,10/28/2023,09/14/2023 15:50,2023,9,15,Autumn,Thailand,Sukhothai UNESCO world heritage site,17.00778,99.823,Other,900.0,54.5760684622042,"A Star like object, oval on magnification of photo."
236,7/29/2023,07/26/2023 20:03,2023,7,20,Summer,Thailand,Saphan sung,13.76531,100.69001,Egg,2.0,18.6112503565266,Not bright object travelling too fast
237,7/10/2023,6/9/2023 21:21,2023,6,21,Summer,Thailand,Hat Yai,7.00836,100.47668,Circle,1200.0,12.4708648775057,Some type of flying object... On hover.
238,3/6/2023,11/27/2022 19:00,2022,11,19,Spring,Thailand,Malacca/Andaman sea,11.340025,95.737648,Cylinder,600.0,329.163668943482,Appeared to be extension of airplane wing until it flew away.